Week,condolences: (New York NY)
4/19/15,44
4/26/15,41
5/3/15,47
5/10/15,34
5/17/15,37
5/24/15,41
5/31/15,39
6/7/15,54
6/14/15,40
6/21/15,52
6/28/15,42
7/5/15,38
7/12/15,33
7/19/15,62
7/26/15,35
8/2/15,42
8/9/15,56
8/16/15,30
8/23/15,36
8/30/15,39
9/6/15,44
9/13/15,42
9/20/15,40
9/27/15,44
10/4/15,64
10/11/15,37
10/18/15,36
10/25/15,48
11/1/15,39
11/8/15,49
11/15/15,51
11/22/15,35
11/29/15,34
12/6/15,38
12/13/15,46
12/20/15,47
12/27/15,48
1/3/16,50
1/10/16,39
1/17/16,33
1/24/16,44
1/31/16,38
2/7/16,45
2/14/16,43
2/21/16,38
2/28/16,38
3/6/16,36
3/13/16,42
3/20/16,43
3/27/16,53
4/3/16,35
4/10/16,36
4/17/16,44
4/24/16,51
5/1/16,43
5/8/16,41
5/15/16,39
5/22/16,56
5/29/16,34
6/5/16,37
6/12/16,40
6/19/16,42
6/26/16,43
7/3/16,40
7/10/16,39
7/17/16,35
7/24/16,33
7/31/16,45
8/7/16,34
8/14/16,32
8/21/16,47
8/28/16,48
9/4/16,43
9/11/16,46
9/18/16,62
9/25/16,44
10/2/16,34
10/9/16,33
10/16/16,54
10/23/16,53
10/30/16,36
11/6/16,46
11/13/16,42
11/20/16,34
11/27/16,45
12/4/16,49
12/11/16,50
12/18/16,34
12/25/16,35
1/1/17,39
1/8/17,52
1/15/17,48
1/22/17,43
1/29/17,51
2/5/17,43
2/12/17,46
2/19/17,52
2/26/17,41
3/5/17,46
3/12/17,31
3/19/17,42
3/26/17,43
4/2/17,55
4/9/17,41
4/16/17,48
4/23/17,53
4/30/17,45
5/7/17,40
5/14/17,37
5/21/17,28
5/28/17,32
6/4/17,35
6/11/17,35
6/18/17,35
6/25/17,30
7/2/17,36
7/9/17,52
7/16/17,48
7/23/17,26
7/30/17,37
8/6/17,35
8/13/17,35
8/20/17,38
8/27/17,55
9/3/17,37
9/10/17,40
9/17/17,44
9/24/17,49
10/1/17,58
10/8/17,45
10/15/17,50
10/22/17,51
10/29/17,60
11/5/17,49
11/12/17,45
11/19/17,34
11/26/17,51
12/3/17,40
12/10/17,57
12/17/17,55
12/24/17,35
12/31/17,46
1/7/18,45
1/14/18,58
1/21/18,55
1/28/18,49
2/4/18,34
2/11/18,51
2/18/18,50
2/25/18,55
3/4/18,43
3/11/18,56
3/18/18,39
3/25/18,47
4/1/18,61
4/8/18,60
4/15/18,41
4/22/18,42
4/29/18,57
5/6/18,40
5/13/18,34
5/20/18,42
5/27/18,46
6/3/18,48
6/10/18,30
6/17/18,45
6/24/18,41
7/1/18,37
7/8/18,37
7/15/18,39
7/22/18,35
7/29/18,40
8/5/18,41
8/12/18,37
8/19/18,32
8/26/18,49
9/2/18,42
9/9/18,31
9/16/18,51
9/23/18,39
9/30/18,46
10/7/18,59
10/14/18,55
10/21/18,49
10/28/18,42
11/4/18,45
11/11/18,50
11/18/18,47
11/25/18,47
12/2/18,28
12/9/18,46
12/16/18,43
12/23/18,38
12/30/18,47
1/6/19,38
1/13/19,50
1/20/19,39
1/27/19,44
2/3/19,42
2/10/19,47
2/17/19,59
2/24/19,67
3/3/19,52
3/10/19,54
3/17/19,57
3/24/19,57
3/31/19,44
4/7/19,32
4/14/19,46
4/21/19,35
4/28/19,51
5/5/19,44
5/12/19,35
5/19/19,41
5/26/19,44
6/2/19,52
6/9/19,54
6/16/19,46
6/23/19,38
6/30/19,23
7/7/19,51
7/14/19,43
7/21/19,52
7/28/19,52
8/4/19,48
8/11/19,29
8/18/19,33
8/25/19,43
9/1/19,34
9/8/19,41
9/15/19,47
9/22/19,44
9/29/19,47
10/6/19,52
10/13/19,46
10/20/19,40
10/27/19,41
11/3/19,45
11/10/19,49
11/17/19,37
11/24/19,41
12/1/19,42
12/8/19,42
12/15/19,42
12/22/19,56
12/29/19,51
1/5/20,55
1/12/20,45
1/19/20,47
1/26/20,56
2/2/20,39
2/9/20,42
2/16/20,45
2/23/20,57
3/1/20,41
3/8/20,39
3/15/20,35
3/22/20,49
3/29/20,85
4/5/20,100
