fips,LND110210,POP060210
0,3531905.43,87.4
1000,50645.33,94.4
1001,594.44,91.8
1003,1589.78,114.6
1005,884.88,31
1007,622.58,36.8
1009,644.78,88.9
1011,622.81,17.5
1013,776.83,27
1015,605.87,195.7
1017,596.53,57.4
1019,553.7,46.9
1021,692.85,63
1023,913.5,15.2
1025,1238.47,20.9
1027,603.96,23.1
1029,560.1,26.7
1031,678.97,73.6
1033,592.62,91.8
1035,850.16,15.6
1037,650.93,17.7
1039,1030.46,36.6
1041,608.84,22.8
1043,734.84,109.4
1045,561.15,89.6
1047,978.7,44.8
1049,777.09,91.5
1051,618.49,128.2
1053,945.08,40.5
1055,534.99,195.2
1057,627.66,27.5
1059,633.82,50
1061,574.41,46.6
1063,647.11,14
1065,643.94,24.5
1067,561.75,30.8
1069,579.82,175.1
1071,1077.87,49.4
1073,1111.28,592.5
1075,604.85,24.1
1077,667.7,138.8
1079,690.68,49.7
1081,607.54,230.8
1083,559.94,147.8
1085,715.91,15.8
1087,608.89,35.2
1089,801.59,417.7
1091,976.88,21.5
1093,742.29,41.5
1095,565.84,164.4
1097,1229.44,335.9
1099,1025.68,22.5
1101,784.25,292.5
1103,579.34,206.3
1105,719.66,14.7
1107,881.41,22.4
1109,672.09,48.9
1111,580.55,39.5
1113,641.14,82.6
1115,631.9,132.3
1117,784.93,248.5
1119,903.89,15.2
1121,736.78,111.7
1123,716.52,58.1
1125,1321.76,147.3
1127,791.19,84.7
1129,1080.21,16.3
1131,888.5,13.1
1133,612.98,39.9
2000,570640.95,1.2
2013,6981.94,0.4
2016,4390.28,1.3
2020,1704.68,171.2
2050,40570,0.4
2060,503.84,2
2068,12751.41,0.1
2070,18568.78,0.3
2090,7338.21,13.3
2100,2318.6,1.1
2105,7524.92,0.3
2110,2701.93,11.6
2122,16075.33,3.4
2130,4858.41,2.8
2150,6549.58,2.1
2164,23652.01,0.1
2170,24607.9,3.6
2180,22961.76,0.4
2185,88695.41,0.1
2188,35572.58,0.2
2195,3281.98,1.2
2198,3922.87,1.4
2220,2870.34,3.1
2230,452.33,2.1
2240,24768.81,0.3
2261,34239.88,0.3
2270,17081.43,0.4
2275,2541.48,0.9
2282,7649.46,0.1
2290,145504.79,0
4000,113594.08,56.3
4001,11197.52,6.4
4003,6165.69,21.3
4005,18618.89,7.2
4007,4757.93,11.3
4009,4622.6,8.1
4011,1843.13,4.6
4012,4499.63,4.6
4013,9200.14,414.9
4015,13311.08,15
4017,9950.42,10.8
4019,9187.04,106.7
4021,5365.61,70
4023,1236.92,38.3
4025,8123.5,26
4027,5513.99,35.5
5000,52035.48,56
5001,988.77,19.2
5003,925.35,23.6
5005,554.28,74.9
5007,847.36,261.2
5009,590.23,62.5
5011,649.23,17.7
5013,628.58,8.5
5015,630.09,43.6
5017,644.3,18.3
5019,866.07,26.6
5021,639.47,25.2
5023,553.69,46.9
5025,597.78,14.5
5027,766.05,32.1
5029,552.25,38.5
5031,707.21,136.4
5033,593.09,104.4
5035,609.76,83.5
5037,616.38,29
5039,667.39,12.2
5041,768.15,16.9
5043,828.36,22.3
5045,647.88,174.8
5047,608.86,29.8
5049,618.19,19.8
5051,677.78,141.7
5053,631.81,28.3
5055,577.7,72.9
5057,727.52,31.1
5059,615.2,53.5
5061,588.55,23.4
5063,763.95,48
5065,580.58,23.6
5067,633.94,28.4
5069,870.75,88.9
5071,659.8,38.7
5073,528.27,14.5
5075,587.61,29.6
5077,602.62,17.3
5079,561.52,25.2
5081,532.25,24.7
5083,708.13,31.6
5085,770.73,88.7
5087,834.26,18.8
5089,597.01,27.9
5091,625.58,69.5
5093,900.57,51.6
5095,607.12,13.4
5097,779.88,12.2
5099,617.84,14.6
5101,820.9,10.1
5103,732.78,35.6
5105,551.4,18.9
5107,695.66,31.3
5109,600.62,18.8
5111,758.39,32.4
5113,857.68,24.1
5115,812.55,76
5117,647.96,13.4
5119,759.76,503.8
5121,652.19,27.6
5123,634.77,44.5
5125,723.6,148
5127,892.32,12.6
5129,666.1,12.3
5131,531.91,236.4
5133,565.13,30.2
5135,604.44,28.6
5137,606.41,20.4
5139,1039.21,40.1
5141,708.14,24.4
5143,941.97,215.6
5145,1035.08,74.5
5147,586.79,12.4
5149,929.98,23.9
6000,155779.22,239.1
6001,739.02,2043.6
6003,738.33,1.6
6005,594.58,64.1
6007,1636.46,134.4
6009,1020.01,44.7
6011,1150.73,18.6
6013,715.94,1465.2
6015,1006.37,28.4
6017,1707.88,106
6019,5957.99,156.2
6021,1313.95,21.4
6023,3567.99,37.7
6025,4176.6,41.8
6027,10180.88,1.8
6029,8131.92,103.3
6031,1389.42,110.1
6033,1256.46,51.5
6035,4541.18,7.7
6037,4057.88,2419.6
6039,2137.07,70.6
6041,520.31,485.1
6043,1448.82,12.6
6045,3506.34,25.1
6047,1934.97,132.2
6049,3917.77,2.5
6051,3048.98,4.7
6053,3280.6,126.5
6055,748.36,182.4
6057,957.77,103.1
6059,790.57,3807.7
6061,1407.01,247.6
6063,2553.04,7.8
6065,7206.48,303.8
6067,964.64,1470.8
6069,1388.71,39.8
6071,20056.94,101.5
6073,4206.63,735.8
6075,46.87,17179.1
6077,1391.32,492.6
6079,3298.57,81.7
6081,448.41,1602.2
6083,2735.09,155
6085,1290.1,1381
6087,445.17,589.4
6089,3775.4,46.9
6091,953.21,3.4
6093,6277.89,7.2
6095,821.77,503
6097,1575.85,307.1
6099,1494.83,344.2
6101,602.41,157.3
6103,2949.71,21.5
6105,3179.25,4.3
6107,4824.22,91.7
6109,2220.88,24.9
6111,1843.13,446.7
6113,1014.69,197.9
6115,631.84,114.2
8000,103641.89,48.5
8001,1167.65,378.2
8003,722.64,21.4
8005,798.1,716.7
8007,1350.18,8.9
8009,2554.97,1.5
8011,1512.86,4.3
8013,726.29,405.6
8014,33.03,1691.9
8015,1013.4,17.6
8017,1778.28,1
8019,395.23,23
8021,1287.39,6.4
8023,1226.95,2.9
8025,787.42,7.4
8027,738.63,5.8
8029,1142.05,27.1
8031,153,3922.6
8033,1067.05,1.9
8035,840.25,339.7
8037,1684.53,31
8039,1850.85,12.5
8041,2126.8,292.6
8043,1533.07,30.5
8045,2947.56,19.1
8047,149.9,36.3
8049,1846.33,8
8051,3239.1,4.7
8053,1117.25,0.8
8055,1591,4.2
8057,1613.72,0.9
8059,764.21,699.5
8061,1767.77,0.8
8063,2160.82,3.8
8065,376.91,19.4
8067,1692.08,30.3
8069,2596,115.4
8071,4772.67,3.2
8073,2577.63,2.1
8075,1838.55,12.4
8077,3328.97,44.1
8079,875.67,0.8
8081,4743.29,2.9
8083,2029.53,12.6
8085,2240.7,18.4
8087,1280.43,22
8089,1261.96,14.9
8091,541.59,8.2
8093,2193.85,7.4
8095,687.93,6.5
8097,970.7,17.7
8099,1638.4,7.7
