date,search
4/19/15,7
4/26/15,7
5/3/15,7
5/10/15,7
5/17/15,7
5/24/15,6
5/31/15,7
6/7/15,7
6/14/15,6
6/21/15,7
6/28/15,7
7/5/15,6
7/12/15,7
7/19/15,7
7/26/15,8
8/2/15,8
8/9/15,8
8/16/15,7
8/23/15,7
8/30/15,7
9/6/15,7
9/13/15,7
9/20/15,8
9/27/15,9
10/4/15,8
10/11/15,10
10/18/15,12
10/25/15,16
11/1/15,8
11/8/15,8
11/15/15,7
11/22/15,9
11/29/15,8
12/6/15,8
12/13/15,8
12/20/15,8
12/27/15,9
1/3/16,9
1/10/16,9
1/17/16,9
1/24/16,9
1/31/16,8
2/7/16,9
2/14/16,10
2/21/16,9
2/28/16,8
3/6/16,9
3/13/16,8
3/20/16,9
3/27/16,8
4/3/16,8
4/10/16,7
4/17/16,8
4/24/16,9
5/1/16,9
5/8/16,9
5/15/16,9
5/22/16,12
5/29/16,9
6/5/16,8
6/12/16,7
6/19/16,8
6/26/16,8
7/3/16,8
7/10/16,9
7/17/16,9
7/24/16,10
7/31/16,9
8/7/16,8
8/14/16,8
8/21/16,9
8/28/16,10
9/4/16,10
9/11/16,10
9/18/16,11
9/25/16,11
10/2/16,12
10/9/16,12
10/16/16,13
10/23/16,15
10/30/16,13
11/6/16,9
11/13/16,9
11/20/16,10
11/27/16,10
12/4/16,11
12/11/16,11
12/18/16,10
12/25/16,11
1/1/17,12
1/8/17,12
1/15/17,13
1/22/17,12
1/29/17,13
2/5/17,12
2/12/17,11
2/19/17,12
2/26/17,13
3/5/17,16
3/12/17,13
3/19/17,12
3/26/17,14
4/2/17,15
4/9/17,17
4/16/17,14
4/23/17,13
4/30/17,13
5/7/17,13
5/14/17,13
5/21/17,14
5/28/17,14
6/4/17,12
6/11/17,11
6/18/17,12
6/25/17,12
7/2/17,14
7/9/17,12
7/16/17,11
7/23/17,12
7/30/17,13
8/6/17,12
8/13/17,13
8/20/17,13
8/27/17,11
9/3/17,12
9/10/17,11
9/17/17,12
9/24/17,12
10/1/17,13
10/8/17,14
10/15/17,14
10/22/17,17
10/29/17,16
11/5/17,12
11/12/17,13
11/19/17,12
11/26/17,11
12/3/17,11
12/10/17,13
12/17/17,14
12/24/17,13
12/31/17,14
1/7/18,13
1/14/18,14
1/21/18,13
1/28/18,13
2/4/18,13
2/11/18,12
2/18/18,12
2/25/18,11
3/4/18,13
3/11/18,11
3/18/18,11
3/25/18,10
4/1/18,12
4/8/18,10
4/15/18,11
4/22/18,11
4/29/18,11
5/6/18,11
5/13/18,10
5/20/18,9
5/27/18,12
6/3/18,9
6/10/18,10
6/17/18,11
6/24/18,10
7/1/18,11
7/8/18,11
7/15/18,11
7/22/18,10
7/29/18,11
8/5/18,12
8/12/18,11
8/19/18,9
8/26/18,10
9/2/18,11
9/9/18,11
9/16/18,10
9/23/18,11
9/30/18,12
10/7/18,14
10/14/18,15
10/21/18,17
10/28/18,19
11/4/18,11
11/11/18,12
11/18/18,12
11/25/18,11
12/2/18,13
12/9/18,12
12/16/18,12
12/23/18,13
12/30/18,13
1/6/19,12
1/13/19,12
1/20/19,13
1/27/19,12
2/3/19,13
2/10/19,12
2/17/19,11
2/24/19,11
3/3/19,11
3/10/19,11
3/17/19,10
3/24/19,11
3/31/19,11
4/7/19,11
4/14/19,10
4/21/19,11
4/28/19,11
5/5/19,10
5/12/19,9
5/19/19,8
5/26/19,8
6/2/19,9
6/9/19,9
6/16/19,10
6/23/19,9
6/30/19,9
7/7/19,10
7/14/19,10
7/21/19,10
7/28/19,9
8/4/19,9
8/11/19,9
8/18/19,9
8/25/19,9
9/1/19,10
9/8/19,10
9/15/19,11
9/22/19,11
9/29/19,12
10/6/19,12
10/13/19,13
10/20/19,15
10/27/19,15
11/3/19,10
11/10/19,10
11/17/19,10
11/24/19,10
12/1/19,10
12/8/19,12
12/15/19,11
12/22/19,10
12/29/19,11
1/5/20,11
1/12/20,11
1/19/20,16
1/26/20,29
2/2/20,21
2/9/20,16
2/16/20,15
2/23/20,44
3/1/20,33
3/8/20,35
3/15/20,48
3/22/20,64
3/29/20,100
4/5/20,88
