,residual,county_state
01001,-34.093643,"Autauga County, Alabama"
01003,-10.022079,"Baldwin County, Alabama"
01005,-145.08704,"Barbour County, Alabama"
01007,-37.235367,"Bibb County, Alabama"
01009,-83.9886,"Blount County, Alabama"
01011,-958.18555,"Bullock County, Alabama"
01013,987.8014,"Butler County, Alabama"
01015,-100.208,"Calhoun County, Alabama"
01017,550.36237,"Chambers County, Alabama"
01019,-20.157806,"Cherokee County, Alabama"
01021,-129.99231,"Chilton County, Alabama"
01023,224.97989,"Choctaw County, Alabama"
01025,-202.72485,"Clarke County, Alabama"
01027,70.76048,"Clay County, Alabama"
01029,16.444809,"Cleburne County, Alabama"
01031,25.972504,"Coffee County, Alabama"
01033,-25.997711,"Colbert County, Alabama"
01035,-281.86365,"Conecuh County, Alabama"
01037,-33.05365,"Coosa County, Alabama"
01039,-23.652573,"Covington County, Alabama"
01041,23.394958,"Crenshaw County, Alabama"
01043,0.036216736,"Cullman County, Alabama"
01045,-83.537735,"Dale County, Alabama"
01047,-374.93234,"Dallas County, Alabama"
01049,-221.40036,"DeKalb County, Alabama"
01051,33.025497,"Elmore County, Alabama"
01053,-253.39899,"Escambia County, Alabama"
01055,-77.58629,"Etowah County, Alabama"
01057,-193.49902,"Fayette County, Alabama"
01059,718.54584,"Franklin County, Alabama"
01061,-85.47274,"Geneva County, Alabama"
01063,282.224,"Greene County, Alabama"
01065,40.505676,"Hale County, Alabama"
01067,-34.908936,"Henry County, Alabama"
01069,-108.9607,"Houston County, Alabama"
01071,44.72883,"Jackson County, Alabama"
01073,-195.02916,"Jefferson County, Alabama"
01075,-57.61316,"Lamar County, Alabama"
01077,-32.893578,"Lauderdale County, Alabama"
01079,-46.914314,"Lawrence County, Alabama"
01081,-79.78894,"Lee County, Alabama"
01083,-155.0415,"Limestone County, Alabama"
01085,663.33636,"Lowndes County, Alabama"
01087,-346.4834,"Macon County, Alabama"
01089,-135.52756,"Madison County, Alabama"
01091,-83.24097,"Marengo County, Alabama"
01093,175.79677,"Marion County, Alabama"
01095,450.12567,"Marshall County, Alabama"
01097,9.783142,"Mobile County, Alabama"
01099,-191.14194,"Monroe County, Alabama"
01101,-192.54889,"Montgomery County, Alabama"
01103,-133.04721,"Morgan County, Alabama"
01105,-387.9314,"Perry County, Alabama"
01107,-190.93701,"Pickens County, Alabama"
01109,12.799561,"Pike County, Alabama"
01111,324.9159,"Randolph County, Alabama"
01113,-151.56429,"Russell County, Alabama"
01115,-59.892982,"St. Clair County, Alabama"
01117,-132.66518,"Shelby County, Alabama"
01119,280.3224,"Sumter County, Alabama"
01121,-247.71207,"Talladega County, Alabama"
01123,640.34814,"Tallapoosa County, Alabama"
01125,-182.07767,"Tuscaloosa County, Alabama"
01127,-8.435318,"Walker County, Alabama"
01129,125.882614,"Washington County, Alabama"
01131,118.55444,"Wilcox County, Alabama"
01133,32.991394,"Winston County, Alabama"
02013,-795.08545,"Aleutians East Borough, Alaska"
