,residual,county_state
1001,-9.839111,"Autauga County, Alabama"
1003,3.9328308,"Baldwin County, Alabama"
1005,-190.20764,"Barbour County, Alabama"
1007,-135.1379,"Bibb County, Alabama"
1009,-109.677826,"Blount County, Alabama"
1011,-498.69675,"Bullock County, Alabama"
1013,1013.08344,"Butler County, Alabama"
1015,-86.43734,"Calhoun County, Alabama"
1017,583.7263,"Chambers County, Alabama"
1019,-38.73214,"Cherokee County, Alabama"
1021,-141.42288,"Chilton County, Alabama"
1023,260.70123,"Choctaw County, Alabama"
1025,-288.99646,"Clarke County, Alabama"
1027,92.26947,"Clay County, Alabama"
1029,40.0374,"Cleburne County, Alabama"
1031,6.4374084,"Coffee County, Alabama"
1033,-15.952667,"Colbert County, Alabama"
1035,-262.885,"Conecuh County, Alabama"
1037,-53.803497,"Coosa County, Alabama"
1039,-39.554596,"Covington County, Alabama"
1041,202.70497,"Crenshaw County, Alabama"
1043,15.7535095,"Cullman County, Alabama"
1045,-113.418335,"Dale County, Alabama"
1047,-520.0388,"Dallas County, Alabama"
1049,-524.7556,"DeKalb County, Alabama"
1051,37.26062,"Elmore County, Alabama"
1053,-375.07513,"Escambia County, Alabama"
1055,20.71312,"Etowah County, Alabama"
1057,-242.55301,"Fayette County, Alabama"
1059,760.8966,"Franklin County, Alabama"
1061,-80.73615,"Geneva County, Alabama"
1063,198.66675,"Greene County, Alabama"
1065,-41.702576,"Hale County, Alabama"
1067,-29.755615,"Henry County, Alabama"
1069,-96.3865,"Houston County, Alabama"
1071,37.20717,"Jackson County, Alabama"
1073,-157.57454,"Jefferson County, Alabama"
1075,-39.67685,"Lamar County, Alabama"
1077,-31.400093,"Lauderdale County, Alabama"
1079,-30.428482,"Lawrence County, Alabama"
1081,-127.22156,"Lee County, Alabama"
1083,-94.9521,"Limestone County, Alabama"
1085,382.07983,"Lowndes County, Alabama"
1087,-421.68958,"Macon County, Alabama"
1089,-188.22916,"Madison County, Alabama"
1091,-13.925476,"Marengo County, Alabama"
1093,193.76076,"Marion County, Alabama"
1095,406.42062,"Marshall County, Alabama"
1097,66.46039,"Mobile County, Alabama"
1099,-162.68134,"Monroe County, Alabama"
1101,-272.13715,"Montgomery County, Alabama"
1103,-134.52301,"Morgan County, Alabama"
1105,-442.39862,"Perry County, Alabama"
1107,-124.53458,"Pickens County, Alabama"
1109,30.928833,"Pike County, Alabama"
1111,321.90536,"Randolph County, Alabama"
1113,-143.14284,"Russell County, Alabama"
1115,-29.387535,"St. Clair County, Alabama"
1117,-32.043762,"Shelby County, Alabama"
1119,388.36078,"Sumter County, Alabama"
1121,-213.66391,"Talladega County, Alabama"
1123,663.9705,"Tallapoosa County, Alabama"
1125,-153.72897,"Tuscaloosa County, Alabama"
1127,29.653595,"Walker County, Alabama"
1129,89.980896,"Washington County, Alabama"
1131,212.45679,"Wilcox County, Alabama"
1133,23.461502,"Winston County, Alabama"
2013,-467.81973,"Aleutians East Borough, Alaska"
2016,-62.597446,"Aleutians West Census Area, Alaska"
2020,-46.95774,"Anchorage Municipality, Alaska"
2050,78.83917,"Bethel Census Area, Alaska"
2060,117.05773,"Bristol Bay Borough, Alaska"
