date,search
4/19/15,44
4/26/15,28
5/3/15,42
5/10/15,42
5/17/15,32
5/24/15,31
5/31/15,43
6/7/15,48
6/14/15,39
6/21/15,35
6/28/15,30
7/5/15,37
7/12/15,41
7/19/15,32
7/26/15,37
8/2/15,40
8/9/15,35
8/16/15,24
8/23/15,18
8/30/15,28
9/6/15,34
9/13/15,17
9/20/15,29
9/27/15,23
10/4/15,29
10/11/15,36
10/18/15,29
10/25/15,22
11/1/15,25
11/8/15,29
11/15/15,28
11/22/15,15
11/29/15,16
12/6/15,27
12/13/15,28
12/20/15,45
12/27/15,24
1/3/16,35
1/10/16,26
1/17/16,30
1/24/16,36
1/31/16,25
2/7/16,34
2/14/16,33
2/21/16,17
2/28/16,27
3/6/16,37
3/13/16,12
3/20/16,33
3/27/16,29
4/3/16,31
4/10/16,25
4/17/16,22
4/24/16,38
5/1/16,19
5/8/16,35
5/15/16,40
5/22/16,40
5/29/16,25
6/5/16,28
6/12/16,30
6/19/16,23
6/26/16,28
7/3/16,19
7/10/16,22
7/17/16,19
7/24/16,50
7/31/16,44
8/7/16,43
8/14/16,22
8/21/16,23
8/28/16,27
9/4/16,31
9/11/16,32
9/18/16,20
9/25/16,34
10/2/16,26
10/9/16,25
10/16/16,23
10/23/16,17
10/30/16,25
11/6/16,27
11/13/16,20
11/20/16,27
11/27/16,30
12/4/16,25
12/11/16,13
12/18/16,21
12/25/16,24
1/1/17,34
1/8/17,33
1/15/17,21
1/22/17,33
1/29/17,34
2/5/17,24
2/12/17,35
2/19/17,37
2/26/17,28
3/5/17,33
3/12/17,30
3/19/17,48
3/26/17,30
4/2/17,26
4/9/17,18
4/16/17,28
4/23/17,19
4/30/17,43
5/7/17,39
5/14/17,21
5/21/17,30
5/28/17,29
6/4/17,29
6/11/17,22
6/18/17,19
6/25/17,26
7/2/17,20
7/9/17,24
7/16/17,39
7/23/17,23
7/30/17,24
8/6/17,34
8/13/17,24
8/20/17,14
8/27/17,33
9/3/17,12
9/10/17,20
9/17/17,20
9/24/17,18
10/1/17,26
10/8/17,16
10/15/17,16
10/22/17,10
10/29/17,23
11/5/17,19
11/12/17,18
11/19/17,20
11/26/17,26
12/3/17,22
12/10/17,26
12/17/17,24
12/24/17,36
12/31/17,32
1/7/18,40
1/14/18,30
1/21/18,18
1/28/18,19
2/4/18,22
2/11/18,33
2/18/18,41
2/25/18,23
3/4/18,24
3/11/18,32
3/18/18,16
3/25/18,24
4/1/18,13
4/8/18,27
4/15/18,35
4/22/18,23
4/29/18,19
5/6/18,28
5/13/18,30
5/20/18,36
5/27/18,37
6/3/18,24
6/10/18,24
6/17/18,28
6/24/18,32
7/1/18,22
7/8/18,27
7/15/18,20
7/22/18,15
7/29/18,32
8/5/18,30
8/12/18,28
8/19/18,16
8/26/18,25
9/2/18,38
9/9/18,20
9/16/18,20
9/23/18,16
9/30/18,18
10/7/18,10
10/14/18,13
10/21/18,19
10/28/18,18
11/4/18,23
11/11/18,17
11/18/18,26
11/25/18,17
12/2/18,24
12/9/18,15
12/16/18,22
12/23/18,15
12/30/18,29
1/6/19,30
1/13/19,32
1/20/19,21
1/27/19,15
2/3/19,21
2/10/19,20
2/17/19,30
2/24/19,14
3/3/19,21
3/10/19,30
3/17/19,21
3/24/19,12
3/31/19,22
4/7/19,29
4/14/19,25
4/21/19,29
4/28/19,16
5/5/19,18
5/12/19,23
5/19/19,20
5/26/19,21
6/2/19,26
6/9/19,30
6/16/19,19
6/23/19,22
6/30/19,17
7/7/19,31
7/14/19,22
7/21/19,19
7/28/19,32
8/4/19,28
8/11/19,19
8/18/19,24
8/25/19,22
9/1/19,20
9/8/19,18
9/15/19,20
9/22/19,18
9/29/19,24
10/6/19,18
10/13/19,20
10/20/19,25
10/27/19,12
11/3/19,23
11/10/19,12
11/17/19,22
11/24/19,27
12/1/19,29
12/8/19,21
12/15/19,20
12/22/19,12
12/29/19,29
1/5/20,32
1/12/20,31
1/19/20,25
1/26/20,25
2/2/20,20
2/9/20,29
2/16/20,26
2/23/20,27
3/1/20,27
3/8/20,28
3/15/20,60
3/22/20,100
3/29/20,67
4/5/20,73
