date,search
4/19/15,10
4/26/15,14
5/3/15,11
5/10/15,9
5/17/15,11
5/24/15,10
5/31/15,11
6/7/15,5
6/14/15,12
6/21/15,8
6/28/15,12
7/5/15,13
7/12/15,14
7/19/15,9
7/26/15,10
8/2/15,10
8/9/15,12
8/16/15,13
8/23/15,15
8/30/15,10
9/6/15,10
9/13/15,9
9/20/15,7
9/27/15,11
10/4/15,13
10/11/15,14
10/18/15,10
10/25/15,9
11/1/15,10
11/8/15,10
11/15/15,12
11/22/15,13
11/29/15,11
12/6/15,9
12/13/15,11
12/20/15,10
12/27/15,12
1/3/16,12
1/10/16,6
1/17/16,10
1/24/16,11
1/31/16,14
2/7/16,10
2/14/16,9
2/21/16,9
2/28/16,11
3/6/16,16
3/13/16,14
3/20/16,11
3/27/16,9
4/3/16,13
4/10/16,9
4/17/16,10
4/24/16,11
5/1/16,8
5/8/16,10
5/15/16,10
5/22/16,9
5/29/16,8
6/5/16,9
6/12/16,11
6/19/16,12
6/26/16,9
7/3/16,10
7/10/16,15
7/17/16,10
7/24/16,15
7/31/16,9
8/7/16,9
8/14/16,10
8/21/16,17
8/28/16,13
9/4/16,11
9/11/16,13
9/18/16,8
9/25/16,10
10/2/16,10
10/9/16,10
10/16/16,14
10/23/16,14
10/30/16,11
11/6/16,8
11/13/16,8
11/20/16,10
11/27/16,12
12/4/16,11
12/11/16,8
12/18/16,10
12/25/16,9
1/1/17,17
1/8/17,10
1/15/17,13
1/22/17,13
1/29/17,16
2/5/17,10
2/12/17,13
2/19/17,19
2/26/17,10
3/5/17,12
3/12/17,7
3/19/17,9
3/26/17,8
4/2/17,8
4/9/17,11
4/16/17,7
4/23/17,15
4/30/17,13
5/7/17,10
5/14/17,13
5/21/17,10
5/28/17,8
6/4/17,11
6/11/17,13
6/18/17,10
6/25/17,11
7/2/17,11
7/9/17,12
7/16/17,12
7/23/17,9
7/30/17,13
8/6/17,14
8/13/17,12
8/20/17,12
8/27/17,13
9/3/17,14
9/10/17,10
9/17/17,14
9/24/17,8
10/1/17,10
10/8/17,11
10/15/17,9
10/22/17,14
10/29/17,13
11/5/17,10
11/12/17,14
11/19/17,15
11/26/17,9
12/3/17,14
12/10/17,16
12/17/17,10
12/24/17,14
12/31/17,12
1/7/18,10
1/14/18,12
1/21/18,17
1/28/18,15
2/4/18,17
2/11/18,13
2/18/18,13
2/25/18,18
3/4/18,16
3/11/18,13
3/18/18,12
3/25/18,12
4/1/18,11
4/8/18,14
4/15/18,14
4/22/18,11
4/29/18,12
5/6/18,11
5/13/18,16
5/20/18,12
5/27/18,12
6/3/18,15
6/10/18,15
6/17/18,13
6/24/18,15
7/1/18,10
7/8/18,14
7/15/18,13
7/22/18,12
7/29/18,13
8/5/18,15
8/12/18,12
8/19/18,15
8/26/18,13
9/2/18,10
9/9/18,13
9/16/18,15
9/23/18,12
9/30/18,17
10/7/18,11
10/14/18,11
10/21/18,14
10/28/18,13
11/4/18,14
11/11/18,14
11/18/18,15
11/25/18,17
12/2/18,15
12/9/18,12
12/16/18,15
12/23/18,17
12/30/18,14
1/6/19,12
1/13/19,14
1/20/19,15
1/27/19,13
2/3/19,14
2/10/19,17
2/17/19,11
2/24/19,15
3/3/19,9
3/10/19,13
3/17/19,14
3/24/19,14
3/31/19,12
4/7/19,13
4/14/19,11
4/21/19,13
4/28/19,11
5/5/19,8
5/12/19,13
5/19/19,13
5/26/19,15
6/2/19,13
6/9/19,18
6/16/19,13
6/23/19,8
6/30/19,8
7/7/19,14
7/14/19,8
7/21/19,16
7/28/19,10
8/4/19,14
8/11/19,11
8/18/19,15
8/25/19,17
9/1/19,13
9/8/19,16
9/15/19,14
9/22/19,17
9/29/19,14
10/6/19,15
10/13/19,16
10/20/19,16
10/27/19,12
11/3/19,14
11/10/19,15
11/17/19,12
11/24/19,11
12/1/19,13
12/8/19,13
12/15/19,11
12/22/19,13
12/29/19,13
1/5/20,11
1/12/20,14
1/19/20,16
1/26/20,16
2/2/20,20
2/9/20,15
2/16/20,15
2/23/20,20
3/1/20,33
3/8/20,57
3/15/20,98
3/22/20,100
3/29/20,92
4/5/20,63
